program_id,country_id,date,year
s543,46.0,2021-07-06,1959
s544,13.0,2021-07-06,2020
s544,75.0,2021-07-06,2020
s545,21.0,2021-07-06,2021
s546,101.0,2021-07-06,2020
s547,,2021-07-06,2021
s548,116.0,2021-07-04,2021
s549,116.0,2021-07-03,2020
s550,,2021-07-02,2020
s551,,2021-07-02,2021
s552,46.0,2021-07-02,2021
s553,,2021-07-02,2020
s554,37.0,2021-07-02,2019
s555,78.0,2021-07-02,2020
s556,101.0,2021-07-02,2013
s556,29.0,2021-07-02,2013
s557,101.0,2021-07-02,2021
s558,7.0,2021-07-02,2018
s558,116.0,2021-07-02,2018
s559,116.0,2021-07-01,2012
s560,116.0,2021-07-01,1997
s560,39.0,2021-07-01,1997
s561,,2021-07-01,2021
s562,116.0,2021-07-01,2002
s563,116.0,2021-07-01,1997
s564,116.0,2021-07-01,1999
s565,116.0,2021-07-01,1997
s566,7.0,2021-07-01,2020
s566,39.0,2021-07-01,2020
s567,116.0,2021-07-01,2000
s567,39.0,2021-07-01,2000
s568,116.0,2021-07-01,1995
s569,116.0,2021-07-01,1993
s570,120.0,2021-07-01,2019
s571,,2021-07-01,2021
s572,,2021-07-01,2021
s573,115.0,2021-07-01,2019
s573,13.0,2021-07-01,2019
s574,116.0,2021-07-01,2008
s574,24.0,2021-07-01,2008
s575,116.0,2021-07-01,2011
s575,24.0,2021-07-01,2011
s576,116.0,2021-07-01,2010
s577,115.0,2021-07-01,2019
s577,7.0,2021-07-01,2019
s577,116.0,2021-07-01,2019
s578,,2021-07-01,2021
s579,37.0,2021-07-01,2005
s579,54.0,2021-07-01,2005
s579,116.0,2021-07-01,2005
s580,116.0,2021-07-01,1988
s581,,2021-07-01,2021
s582,116.0,2021-07-01,1995
s583,116.0,2021-07-01,2016
s584,116.0,2021-07-01,2011
s584,115.0,2021-07-01,2011
s585,116.0,2021-07-01,2001
s586,115.0,2021-07-01,2018
s586,116.0,2021-07-01,2018
s587,,2021-07-01,1992
s588,,2021-07-01,2020
s589,116.0,2021-07-01,2018
s590,115.0,2021-07-01,2019
s591,,2021-07-01,2016
s592,116.0,2021-07-01,2008
s593,116.0,2021-07-01,2010
s594,116.0,2021-07-01,2000
s595,116.0,2021-07-01,2009
s595,39.0,2021-07-01,2009
s596,39.0,2021-07-01,1999
s596,116.0,2021-07-01,1999
s597,116.0,2021-07-01,2019
s598,116.0,2021-07-01,2006
s599,116.0,2021-07-01,2010
s599,115.0,2021-07-01,2010
s600,116.0,2021-07-01,2019
s601,116.0,2021-07-01,1997
s602,116.0,2021-07-01,1984
s603,116.0,2021-07-01,1986
s604,116.0,2021-07-01,1989
s605,115.0,2021-07-01,2003
s605,39.0,2021-07-01,2003
s605,103.0,2021-07-01,2003
s605,116.0,2021-07-01,2003
s606,116.0,2021-07-01,1980
s607,115.0,2021-07-01,2006
s607,116.0,2021-07-01,2006
s607,37.0,2021-07-01,2006
s607,52.0,2021-07-01,2006
s608,116.0,2021-07-01,2008
s609,116.0,2021-07-01,2002
s609,39.0,2021-07-01,2002
s609,21.0,2021-07-01,2002
s610,116.0,2021-07-01,2010
s610,37.0,2021-07-01,2010
s610,52.0,2021-07-01,2010
s610,115.0,2021-07-01,2010
s611,116.0,2021-07-01,2003
s611,115.0,2021-07-01,2003
s611,39.0,2021-07-01,2003
s611,44.0,2021-07-01,2003
s612,116.0,2021-07-01,2012
s612,21.0,2021-07-01,2012
s613,116.0,2021-07-01,2009
s613,76.0,2021-07-01,2009
s614,78.0,2021-07-01,2020
s615,116.0,2021-07-01,1998
s615,76.0,2021-07-01,1998
s616,116.0,2021-07-01,1998
s617,,2021-07-01,2019
s618,106.0,2021-07-01,2021
s619,116.0,2021-06-30,2021
s620,,2021-06-30,2020
s621,116.0,2021-06-30,2019
s622,,2021-06-30,2020
s623,116.0,2021-06-30,2019
s624,,2021-06-30,2021
s625,,2021-06-30,2021
s626,68.0,2021-06-30,2021
s627,,2021-06-30,2021
s628,24.0,2021-06-30,2020
s629,116.0,2021-06-29,2021
s630,,2021-06-28,2020
s631,116.0,2021-06-28,2012
s632,54.0,2021-06-28,2021
s633,,2021-06-28,2019
s634,,2021-06-26,2018
s635,37.0,2021-06-26,2019
s636,60.0,2021-06-25,2010
s637,116.0,2021-06-25,2021
s637,21.0,2021-06-25,2021
s638,,2021-06-25,2021
s639,116.0,2021-06-25,2021
s640,,2021-06-24,2021
s641,,2021-06-24,2021
s642,,2021-06-24,2021
s643,54.0,2021-06-24,2021
s644,116.0,2021-06-24,2021
s645,,2021-06-23,2021
s646,,2021-06-23,2021
s647,,2021-06-23,2021
s648,,2021-06-23,2021
s649,116.0,2021-06-23,2021
s650,,2021-06-22,2019
s651,16.0,2021-06-22,2016
s652,78.0,2021-06-22,2003
s653,,2021-06-22,2004
s654,,2021-06-22,2021
s655,90.0,2021-06-21,2014
s656,90.0,2021-06-21,2016
s657,90.0,2021-06-21,2015
s658,116.0,2021-06-21,2001
s659,,2021-06-20,2021
s660,110.0,2021-06-19,2018
s661,116.0,2021-06-19,2021
s662,37.0,2021-06-19,2018
s663,116.0,2021-06-19,2018
s664,,2021-06-19,2019
s665,103.0,2021-06-19,2020
s666,36.0,2021-06-19,2020
s666,39.0,2021-06-19,2020
s667,,2021-06-19,2020
s668,116.0,2021-06-19,2015
s669,116.0,2021-06-19,2018
s670,103.0,2021-06-19,2020
s671,,2021-06-19,1981
s672,,2021-06-19,1982
s673,,2021-06-19,1988
s674,5.0,2021-06-19,2019
s675,116.0,2021-06-19,2019
s676,54.0,2021-06-19,2018
s677,116.0,2021-06-19,2019
s678,21.0,2021-06-19,2020
s678,116.0,2021-06-19,2020
s679,116.0,2021-06-19,2018
s680,110.0,2021-06-19,2018
s681,116.0,2021-06-19,2020
s682,115.0,2021-06-19,2018
s683,7.0,2021-06-19,2021
s684,,2021-06-18,2021
s685,103.0,2021-06-18,2021
s686,116.0,2021-06-18,2021
s687,101.0,2021-06-18,2021
s688,,2021-06-18,2021
s689,78.0,2021-06-18,2020
s690,,2021-06-18,1981
s691,,2021-06-18,2021
s692,,2021-06-18,2021
s693,,2021-06-18,2021
s694,,2021-06-17,2021
s695,60.0,2021-06-17,2019
s695,108.0,2021-06-17,2019
s696,,2021-06-17,2015
s697,21.0,2021-06-17,2021
s697,116.0,2021-06-17,2021
s698,,2021-06-17,2021
s699,85.0,2021-06-17,2020
s700,45.0,2021-06-17,2021
s701,,2021-06-17,2021
s702,21.0,2021-06-17,2019
s703,116.0,2021-06-17,2012
s704,111.0,2021-06-17,2021
s705,,2021-06-16,2018
s706,39.0,2021-06-16,2019
s707,,2021-06-16,2021
s708,,2021-06-16,2021
s709,116.0,2021-06-16,2016
s710,5.0,2021-06-16,2020
s711,,2021-06-16,2021
s712,52.0,2021-06-16,2021
s713,,2021-06-16,2020
